place_id,distance_epicerie,cote_epicerie,distance_pharmacie,cote_pharmacie,distance_sante,cote_sante,distance_banque,cote_banque,distance_poste,cote_poste,distance_ecole,cote_ecole,distance_bibliotheque,cote_bibliotheque,distance_communautaire,cote_communautaire,cote_totale,distance_transport,acces_transport
77,696.6548127066883,4,990.9749838690213,4,1501.8928870109726,3,2449.209956191679,2,2432.4291759412467,2,1438.069810476754,3,2202.96763144618,2,739.1699595369843,4,24,643.7447059667087,False
78,329.4164220705478,4,2912.011827132814,2,39.576920330702194,4,269.0392175268424,4,,1,1331.372019443315,3,,1,40.70556310264108,4,23,81.45396581425813,True
79,118.06165624628116,4,232.48355178267596,4,762.9019264234453,4,213.5802122347512,4,1762.3172516378693,3,848.3766357712777,4,257.96503940052173,4,848.3541534410483,4,31,167.24698724682574,True
80,1303.8940939232352,3,1402.035220861589,3,1270.7369024006512,3,1326.7501871649426,3,1436.503557853288,3,689.9498422249926,4,1735.8262404585716,3,1277.3822517696815,3,25,252.83731387620065,True
81,1238.2506874387873,3,1336.3918143771411,3,1205.0934959162032,3,1261.1067806804947,3,1370.86015136884,3,624.3064357405448,4,1670.1828339741237,3,1211.7388452852335,3,25,187.1939073917528,True
82,585.9683489452013,4,1554.9506537282284,3,791.5946290122191,4,783.2244352007115,4,1589.4189907199275,3,547.4895867296008,4,1684.9125010929504,3,423.72142353153015,4,29,637.6753275272669,False
83,585.9683489452013,4,1554.9506537282284,3,791.5946290122191,4,783.2244352007115,4,1589.4189907199275,3,547.4895867296008,4,1684.9125010929504,3,423.72142353153015,4,29,637.6753275272669,False
84,636.2814332728651,4,1605.2637380558922,3,841.9077133398829,4,833.5375195283752,4,1639.7320750475913,3,597.8026710572645,4,1735.2255854206142,3,474.0345078591939,4,29,687.9884118549306,False
85,636.2814332728651,4,1605.2637380558922,3,841.9077133398829,4,833.5375195283752,4,1639.7320750475913,3,597.8026710572645,4,1735.2255854206142,3,474.0345078591939,4,29,687.9884118549306,False
86,636.2814332728651,4,1605.2637380558922,3,841.9077133398829,4,833.5375195283752,4,1639.7320750475913,3,597.8026710572645,4,1735.2255854206142,3,474.0345078591939,4,29,687.9884118549306,False
87,636.2814332728651,4,1605.2637380558922,3,841.9077133398829,4,833.5375195283752,4,1639.7320750475913,3,597.8026710572645,4,1735.2255854206142,3,474.0345078591939,4,29,687.9884118549306,False
88,739.0568441144197,4,1295.7775782429385,3,944.6831241814375,4,936.3129303699299,4,1742.5074858891453,3,700.578081898819,4,1838.0009962621682,3,743.5608348790819,4,29,294.54130456348173,True
89,739.0568441144197,4,1295.7775782429385,3,944.6831241814375,4,936.3129303699299,4,1742.5074858891453,3,700.578081898819,4,1838.0009962621682,3,743.5608348790819,4,29,294.54130456348173,True
90,725.9995396458593,4,1282.720273774378,3,931.625819712877,4,923.2556259013694,4,1729.4501814205848,3,687.5207774302586,4,1824.9436917936077,3,730.5035304105214,4,29,281.4840000949213,True
91,693.3679084200473,4,1250.282642410788,3,898.9941884870651,4,890.6239946755575,4,1696.818550194773,3,654.8891462044467,4,1792.312060567796,3,697.8718991847095,4,29,249.04636873133137,True
92,1738.8513214095958,3,2946.2786672260304,2,2389.678484730303,2,2965.9031529291883,2,,1,1609.926604060512,3,,1,,1,15,507.04407224181296,False
93,2007.7483503299065,2,,1,2658.575513650614,2,,1,,1,1128.5873257301948,3,,1,2702.1548134476766,2,13,271.79904808553937,True
94,1990.278556206876,3,,1,2641.1057195275835,2,,1,,1,1146.0571198532255,3,,1,2719.624607570707,2,14,254.3292539625088,True
95,1911.329093772228,3,,1,2562.1562570929354,2,,1,,1,1225.0065822878735,3,,1,2798.5740700053557,2,14,198.77855140904225,True
96,2127.5091433200882,2,,1,2778.3363066407956,2,,1,,1,1081.3340858835193,3,,1,2584.3865238328312,2,13,391.55984107572084,True
97,1677.019272544837,3,2884.4466183612717,2,2327.846435865544,2,2904.0711040644296,2,,1,1548.0945551957532,3,,1,,1,15,445.21202337705404,True
98,2149.616399082621,2,,1,2800.443562403328,2,,1,,1,1105.4338450213877,3,,1,2560.2867646949626,2,13,413.6670968382535,True
99,1736.0195695745701,3,2943.4469153910045,2,2386.846732895277,2,2963.0714010941624,2,,1,1607.0948522254864,3,,1,,1,15,504.21232040678717,False
100,2293.2727376854473,2,,1,2944.099901006155,2,,1,,1,1149.017301445733,3,,1,2482.4837794206132,2,13,378.522083531764,True
101,1714.382304204915,3,2921.8096500213496,2,2365.209467525622,2,2941.4341357245075,2,,1,1585.4575868558313,3,,1,,1,15,482.575055037132,True
102,2566.2604732856203,2,,1,,1,,1,,1,1422.0050370459062,3,,1,2393.9761164401584,2,12,651.5098191319372,False
